Braveheart,Angus Macfadyen
WALL·E,Angus MacLane
Mad Max: Fury Road,Angus Sampson
Pulp Fiction,Ani Sava
Like Stars on Earth,Aniket Engineer
Spider-Man: No Way Home,Anisa Nyell Johnson
Casablanca,Anita Camargo
One Flew Over the Cuckoo's Nest,Anjelica Huston
Dangal,Anmol Charan
2001: A Space Odyssey,Ann Bormann
Gone with the Wind,Ann Bupp
Mr. Smith Goes to Washington,Ann Doran
2001: A Space Odyssey,Ann Gillis
Good Will Hunting,Ann Matacunas
Singin' in the Rain,Ann McCrea
The Exorcist,Ann Miles
Once Upon a Time in America,Ann Neville
All About Eve,Ann Robinson
Gone with the Wind,Ann Rutherford
The Bridge on the River Kwai,Ann Sears
The Help,Anna Camp
Parasite,Anna Elisabeth Rihlmann
V for Vendetta,Anna Farnworth
Monty Python and the Holy Grail,Anna Lanski
The Sound of Music,Anna Lee
Unforgiven,Anna Levine Thomson
Saving Private Ryan,Anna Maguire
In the Name of the Father,Anna Megan
Schindler's List,Anna Mucha
Harry Potter and the Deathly Hallows: Part 2,Anna Shaffer
Downfall,Anna Thalbach
Harry Potter and the Deathly Hallows: Part 2,Annabelle Davis
North by Northwest,Anne Anderson
The Elephant Man,Anne Bancroft
All About Eve,Anne Baxter
Mr. Smith Goes to Washington,Anne Cornwall
Interstellar,Anne Hathaway
The Dark Knight Rises,Anne Hathaway
On the Waterfront,Anne Hegira
Amadeus,Anne Howells
The Shining,Anne Jackson
American History X,Anne Lambton
The Intouchables,Anne Le Ny
The Hunt,Anne Louise Hassing
Terminator 2: Judgment Day,Anne Merrem
Singin' in the Rain,Anne Neyland
L.A. Confidential,Anne Zogby
Finding Nemo,Annelise Nolting
Inglourious Basterds,Anne-Sophie Franck
American Beauty,Annette Bening
Heat,Annette Goodman
Taxi Driver,Annie Gagen
Trainspotting,Annie Louise Ross
Toy Story,Annie Potts
The Third Man,Annie Rosar
The Hunt,Annika Wedderkopp
Wild Strawberries,Ann-Marie Wiman
Dangal,Ansh Rathore
1917,Anson Boon
Goodfellas,Anthony Alessandro
Harry Potter and the Deathly Hallows: Part 2,Anthony Allgood
The Departed,Anthony Anderson
In the Name of the Father,Anthony Brophy
Toy Story,Anthony Burch
Goodfellas,Anthony Caso
Barry Lyndon,Anthony Dawes
Dial M for Murder,Anthony Dawson
The Prestige,Anthony De Marco
A Beautiful Mind,Anthony Easton
Top Gun: Maverick,Anthony Edwards
Logan,Anthony Escobar
Avengers: Endgame,Anthony G Breed
Coco,Anthony Gonzalez
The Silence of the Lambs,Anthony Heald
Barry Lyndon,Anthony Herrick
The Elephant Man,Anthony Hopkins
The Father,Anthony Hopkins
The Silence of the Lambs,Anthony Hopkins
2001: A Space Odyssey,Anthony Jackson
Unforgiven,Anthony James
Warrior,Anthony Johnson
